iteration,loc_LB,loc_UB,glob_LB,glob_UB,repeated_services,missed_services 
56,19804.612,26442.600000000006,19804.612,26442.600000000006,9;18;46;90;,1;7;8;13;15;20;21;29;34;35;42;45;47;48;49;50;52;53;56;59;62;65;66;67;70;72;73;77;83;89;92;94;96;
57,20051.98,27192.459999999992,20051.98,26442.600000000006,3;7;8;13;17;25;40;45;55;57;64;79;98;,5;6;12;18;20;21;22;23;26;32;33;39;42;43;53;56;59;60;65;67;70;73;77;83;86;89;91;
58,20218.452,28214.047999999995,20218.452,26442.600000000006,4;6;7;12;18;19;32;45;46;51;58;60;61;77;90;93;98;,2;3;8;13;15;20;21;25;34;37;40;47;48;53;59;62;64;65;66;67;70;72;73;76;92;94;97;
59,20514.272,25849.615999999995,20514.272,25849.615999999995,31;37;43;47;64;71;78;88;,4;10;16;21;22;29;36;53;58;63;67;70;72;73;75;82;93;99;
60,20327.572,24676.759999999995,20514.272,24676.759999999995,3;4;13;36;41;57;58;63;75;93;99;,12;16;21;23;25;53;59;65;67;70;72;77;91;92;94;
61,20626.588,25335.503999999994,20626.588,24676.759999999995,12;31;37;51;64;65;74;77;,1;3;13;14;19;20;29;43;47;50;52;53;66;70;72;
62,20720.404,26619.907999999992,20720.404,24676.759999999995,8;21;25;38;43;47;51;71;78;84;88;97;,6;7;15;16;20;26;33;34;37;45;53;56;61;64;73;74;83;89;
63,20798.896,29816.107999999997,20798.896,24676.759999999995,3;5;6;13;31;35;42;55;61;64;68;73;83;87;92;98;,2;9;12;17;18;24;25;32;33;38;41;47;57;58;63;65;66;67;77;80;84;93;95;97;99;
64,20589.332000000002,27611.543999999994,20798.896,24676.759999999995,7;9;12;17;26;32;36;41;45;57;63;65;75;76;77;81;93;96;97;99;,1;5;22;23;31;42;52;53;60;61;73;83;91;92;94;98;
65,20700.348,26414.623999999996,20798.896,24676.759999999995,38;52;61;74;84;86;90;92;98;,7;9;16;17;18;22;29;32;45;47;69;75;76;96;
66,20518.528,25857.327999999994,20798.896,24676.759999999995,5;9;18;22;23;80;91;,2;15;20;26;33;39;41;52;53;61;72;74;86;92;93;98;
67,20518.768,26186.383999999995,20798.896,24676.759999999995,6;7;41;43;50;52;54;61;72;74;76;86;89;92;93;96;98;,5;9;18;22;23;91;94;
68,20849.708,25317.352,20849.708,24676.759999999995,5;9;22;23;26;34;39;75;80;83;91;,1;29;32;79;
69,20784.108,24330.124,20849.708,24330.124,8;9;20;,2;5;22;23;24;38;59;60;80;84;91;95;
